TestTakerID	Timestamp	Coding
1001042	0	START
1001042	44985	SS_Se
1001042	55852	SS_Se_OK
1001042	55950	SS_Type_2
1001042	66546	E
1001042	90189	SS
1001042	96096	E
1001042	101813	Next
1001042	105379	Next_OK
1001042	105382	END
1001079	0	START
1001079	21234	SS_So
1001079	27546	SS_So_1B
1001079	31906	SS_So_OK
1001079	77760	SS
1001079	107174	E
1001079	114933	SS
1001079	120090	E
1001079	124409	SS
1001079	126059	E
1001079	167356	SS
1001079	173446	E
1001079	179097	E
1001079	192324	Next
1001079	194115	Next_OK
1001079	194117	END
1001103	0	START
1001103	39002	SS_Se
1001103	56607	SS_Se_OK
1001103	56730	SS_Type_2
1001103	88625	E
1001103	92857	SS
1001103	124486	E
1001103	142727	SS
1001103	150590	E
1001103	170285	Next
1001103	171957	Next_OK
1001103	171958	END
1001112	0	START
1001112	54895	E
1001112	62782	SS
1001112	70514	E
1001112	73429	Next
1001112	75122	Next_OK
1001112	75123	END
1002087	0	START
1002087	158089	SS_Se_OK
1002087	158222	SS_Type_200
1002087	205637	SS_So_1B
1002087	210837	SS_So_OK
1002087	234259	E
1002087	257658	SS
1002087	267547	E
1002087	296040	Next
1002087	299318	Next_OK
1002087	299319	END
1002110	0	START
1002110	93106	E
1002110	112918	SS
1002110	116324	E
1002110	124802	E_S
1002110	126680	Next
1002110	128875	Next_OK
1002110	128876	END
1003077	0	START
1003077	53204	SS_So
1003077	62473	SS_So_1B
1003077	67922	SS_So_OK
1003077	89057	E
1003077	124970	Next
1003077	127908	Next_OK
1003077	127909	END
1003110	0	START
1003110	18045	Next
1003110	27480	Next_C
1003110	55692	Next
1003110	59105	Next_C
1003110	70597	E
1003110	133763	Next
1003110	136590	Next_C
1003110	174457	E
1003110	176888	SS
1003110	184542	Next
1003110	190887	E
1003110	193904	Next_C
1003110	204320	Next
1003110	207178	Next_C
1003110	299067	Next
1003110	302706	Next_OK
1003110	302707	END
1003147	0	START
1003147	110606	Next
1003147	114765	Next_OK
1003147	114769	END
1003165	0	START
1003165	89372	SS_So_1B
1003165	100689	SS_So_OK
1003165	121997	SS_So_OK
1003165	153143	SS_Save
1003165	159380	E
1003165	170534	E_S
1003165	199527	Next
1003165	203766	Next_C
1003165	210787	E_S
1003165	211247	E_S
1003165	215728	Next
1003165	225070	Next_C
1003165	237949	SS
1003165	242608	SS
1003165	243509	E
1003165	248789	SS
1003165	249372	E
1003165	250728	SS
1003165	256030	SS_Save
1003165	262583	E
1003165	270320	Next
1003165	271234	Next_OK
1003165	271235	END
1003192	0	START
1003192	79867	SS_So
1003192	96335	SS_So_1B
1003192	105318	SS_So_2A
1003192	118002	SS_So_OK
1003192	171747	E
1003192	178449	SS
1003192	181437	E
1003192	204094	E_S
1003192	206058	Next
1003192	207442	Next_OK
1003192	207449	END
1005075	0	START
1005075	61604	SS_So
1005075	69432	SS_So_1B
1005075	73786	SS_So_OK
